Hateful Tweet ID;Reply Tweet ID;counter_speech;Q2;Q3;Q4;target;clarity;evidence;emotional_appeal;rebuttal;audience_adaptation;fairness
289891961748471808;289896153045151744;1;0.0;0.0;;lgbtqia+;2;1;1;1;1;2
1318587092289585158;1318587649066700801;1;1.0;0.0;;lgbtqia+;1;1;1;2;1;3
1318554131200724992;1318591248664506369;1;0.0;1.0;;political affiliation;2;1;1;1;0;1
1318587092289585158;1318610064693919747;1;1.0;0.0;;lgbtqia+;2;1;1;2;1;1
1044596023442776066;1044652967872335872;1;0.0;0.0;;gender;1;1;0;1;1;2
1319719750331715585;1319720035615723527;1;0.0;1.0;;gender;1;1;0;1;1;2
1318587092289585158;1318593960139509767;1;0.0;0.0;;lgbtqia+;2;1;0;1;1;3
747867637925937152;747868628314259456;1;0.0;1.0;;gender;1;1;1;1;1;1
1317130762282565633;1317132131349504001;1;0.0;0.0;;gender;2;2;1;1;1;2
330938549669081088;330940051267665921;1;0.0;1.0;;gender;1;1;0;1;1;3
423589297720004608;423683655265837056;1;0.0;1.0;;political affiliation;1;1;1;2;1;1
820103753357529088;820104181767880704;1;0.0;0.0;;lgbtqia+;2;1;1;1;1;1
902955664464588804;902991571070705664;1;0.0;0.0;;gender;2;2;0;1;1;2
441005511534575617;481492929857339392;1;0.0;1.0;;gender;1;1;0;1;1;1
1320388405243662336;1320426080755425280;1;1.0;1.0;;gender;2;1;1;1;1;1
1107042648026742787;1107043395619434499;1;1.0;0.0;;gender;1;1;1;1;1;2
1309541942804570114;1309542176238469122;1;0.0;0.0;;gender;1;1;0;1;1;1
993923301855526912;993933936655925248;1;0.0;0.0;;ethnicity/race;1;1;0;1;1;2
1304945591407894528;1305098393136574465;1;0.0;0.0;;gender;2;1;1;1;1;2
363692996098654208;363697540018868226;1;0.0;1.0;;ethnicity/race;2;1;1;2;1;3
499778410752016384;499787106425008128;1;0.0;1.0;;gender;1;1;1;1;1;1
1319719750331715585;1319720158735134721;1;0.0;0.0;;gender;1;1;1;1;1;3
1311850414493462528;1311963467570585605;1;0.0;1.0;;lgbtqia+;2;1;0;1;1;2
1304945591407894528;1305472463208411136;1;0.0;0.0;;gender;1;1;1;1;1;3
993923301855526912;993926112085532672;1;0.0;1.0;;ethnicity/race;2;2;1;1;1;1
423589297720004608;423682806661660672;1;0.0;0.0;;political affiliation;1;2;0;1;1;2
289891961748471808;289892466038022145;1;0.0;0.0;;lgbtqia+;2;1;0;2;1;3
1318554131200724992;1318590518092320768;1;1.0;0.0;;political affiliation;2;2;1;3;1;3
1317130762282565633;1317135366323929090;1;0.0;1.0;;gender;3;1;1;2;1;2
907370846272065538;907445675142598656;1;0.0;1.0;;ethnicity/race;2;1;0;1;1;1
902955664464588804;903279481577758720;1;1.0;0.0;;gender;2;2;1;2;1;3
1229604569161691136;1229836678245699584;1;0.0;0.0;;ethnicity/race;1;1;1;1;1;3
1107042648026742787;1107303982211444737;1;0.0;1.0;;gender;2;1;1;3;1;2
356255162345603075;356256630452658176;1;0.0;0.0;;ethnicity/race;3;1;1;2;1;2
289891961748471808;289894211891908608;1;0.0;1.0;;lgbtqia+;1;1;0;1;1;2
468435646630350848;468820143649206272;1;0.0;1.0;;gender;2;1;1;1;1;2
423589297720004608;423881286537605120;1;0.0;1.0;;political affiliation;1;1;1;2;1;1
330938549669081088;330966903122182144;1;0.0;0.0;;gender;1;1;1;1;1;1
441005511534575617;448256288166658048;1;0.0;1.0;;gender;2;1;1;1;1;1
1319719750331715585;1319979394253742080;1;0.0;0.0;;gender;1;1;0;1;1;2
1311850414493462528;1311873482192572418;1;0.0;0.0;;lgbtqia+;1;1;1;1;1;2
423589297720004608;423601199963570176;1;0.0;1.0;;political affiliation;2;1;0;1;1;2
1302075694223101953;1302627844170940416;1;1.0;1.0;;ethnicity/race;2;2;1;1;1;2
522595296811831296;523118395043373057;1;1.0;0.0;;gender;2;2;1;2;1;2
484615988059860992;484869421421195266;1;0.0;1.0;;gender;1;1;1;1;1;1
423589297720004608;423611665226035200;1;0.0;0.0;;political affiliation;3;1;1;1;1;3
435478225959927808;435490264678166528;1;0.0;0.0;;lgbtqia+;1;1;1;1;1;2
458819495440564224;459542215820582912;1;1.0;0.0;;gender;3;1;1;2;1;3
463165850082488320;463787618262458368;1;0.0;0.0;;ethnicity/race;2;1;1;2;1;2
1317130762282565633;1317147147268128769;1;0.0;0.0;;gender;2;1;1;1;1;3
