cn_id;hateSpeech;counterSpeech;hsType;hsSubType;cnType;age;gender;educationLevel;Unnamed: 9;clarity;evidence;emotional_appeal;rebuttal;audience_adaptation;fairness
ENT1ST0014HS0031CN000698P1;Islam has nothing to do with western culture and as soon as the west will understand, this religion will be defeated.;I am not sure what you think the West will be the 'winner' of. Islam isn't in competition with Western culture, and the idea it threatens it is a myth spread to incite fear.;Islamophobia;generic;denouncing , facts;21.0;female;Bachelor;;3;3;0;3;1;3
ENT1ST0001HS0074CN000064;Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.;If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?;Islamophobia;crimes;facts , question;26.0;female;Bachelor;;2;3;0;3;1;3
ENT1ST0008HS0083CN000207P2;Islam is a religion mostly based on conquest and violence.;Are all major religions not religions of conquest to some extent? It does not mean they cannot be practiced peacefully. (link to article about the pope likening Christianity and Islam through their 'idea of conquest');Islamophobia;culture;hypocrisy;21.0;female;Master;;3;3;0;3;1;3
ENT1ST0023HS0090CN001283;Those White women converting to Islam are the saddest, self-loathers you will ever meet. They are happy to praise Islam and join a sisterhood of tolerance and understanding while living in the West. Try living in Pakistan, Saudi Arabia, or the Sudan.;I would not call it sad or self loathing to join a sisterhood of tolerance.;Islamophobia;women;positive;25.0;female;Master;;2;2;0;2;1;3
ENT1ST0008HS0113CN000252;Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.;I have met so many Muslim people adhering to British values. What do you base your view on?;Islamophobia;culture;affiliation , question;26.0;female;Bachelor;;3;3;0;3;1;3
ENT1ST0008HS0120CN000243;This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.;Does any religion have a 'sell-by-date'?;Islamophobia;culture;humor;61.0;male;Bachelor;;2;2;0;2;1;3
ENT1ST0003HS0055CN000090;Islam is a cult and not a religion. They rape children, enslave and murder people, attack our values, and there is nothing good about it. It is incompatible with our way of life.;There are criminals, who are from UK, raping children and murdering people. Maybe it better we should first focus on these cases and think how we could decrease the number of crimes.;Islamophobia;crimes , culture , rapism;facts , hypocrisy;29.0;female;Master;;2;2;0;3;1;3
ENT1ST0019HS0034CN001102P2;Another citizen of Pakistan raped a woman. We should take all the Pakistan citizens to their homeland.;We deported over 6,000 foreign nationals for criminal offences over 2016/17. I am guessing, but I not all of them went back to Pakistan. Criminality and sexual offending are not really a matter of nationality, are they?;Islamophobia;rapism;facts , hypocrisy;61.0;male;Bachelor;;3;3;0;3;1;3
ENT1ST0008HS0098CN000151;Islam is irrational and incompatible with science.;Much like your statement then.;Islamophobia;culture;denouncing , humor;50.0;male;Bachelor;;2;1;1;2;1;3
ENT1ST0008HS0128CN000484P2;If a girl has muslim parents, she is at risk of FGM!;The Quran does not mention FGM and it is carried out by Christians as well as Muslims. The fact that her parents are Muslim has no bearing on the risk factor.;Islamophobia;culture;facts;25.0;female;Bachelor;;3;3;0;3;1;3
