0,Hateful Tweet ID,hate_speech,Reply Tweet ID,counter_speech,counter_speech,Q2,Q3,Q4,target,clarity,evidence,emotional_appeal,rebuttal,audience_adaptation,fairness
1116,1304945591407894528,"You dm a hoe back you like a bitch picture you even smile in a hoe face to long you cut tf off if all yo homeboys single cut tf off you go to the strip club more then 2 times a month cut tf off, bitch call you her brother cut tf off if I FaceTime you & you call regular cut TF OFF",1304946086134583296,@AsianDaBrattt Asian please focus on your career. We need new music!!,1,0.0,0.0,,gender,2,1,0,1,1,3
1117,1304945591407894528,"You dm a hoe back you like a bitch picture you even smile in a hoe face to long you cut tf off if all yo homeboys single cut tf off you go to the strip club more then 2 times a month cut tf off, bitch call you her brother cut tf off if I FaceTime you & you call regular cut TF OFF",1304946785513865226,@AsianDaBrattt This was me reading this omggggg😭😭😭😭😭 . https://t.co/jEXQZFuMS4,1,0.0,0.0,,gender,2,1,1,1,1,3
1118,1304945591407894528,"You dm a hoe back you like a bitch picture you even smile in a hoe face to long you cut tf off if all yo homeboys single cut tf off you go to the strip club more then 2 times a month cut tf off, bitch call you her brother cut tf off if I FaceTime you & you call regular cut TF OFF",1304947177580638208,@AsianDaBrattt Period sister we not playing these games ‼️,1,0.0,0.0,,gender,2,1,0,1,1,3
1119,1304945591407894528,"You dm a hoe back you like a bitch picture you even smile in a hoe face to long you cut tf off if all yo homeboys single cut tf off you go to the strip club more then 2 times a month cut tf off, bitch call you her brother cut tf off if I FaceTime you & you call regular cut TF OFF",1304953709915508736,@AsianDaBrattt Girl focus on your music 😭😭wtf,1,0.0,1.0,,gender,3,1,0,1,1,2
1120,1304945591407894528,"You dm a hoe back you like a bitch picture you even smile in a hoe face to long you cut tf off if all yo homeboys single cut tf off you go to the strip club more then 2 times a month cut tf off, bitch call you her brother cut tf off if I FaceTime you & you call regular cut TF OFF",1304960466112913408,@AsianDaBrattt just focus on yourself bc 😭 most men are inevitably gonna do these things,1,1.0,0.0,,gender,3,2,1,1,1,3
1121,1304945591407894528,"You dm a hoe back you like a bitch picture you even smile in a hoe face to long you cut tf off if all yo homeboys single cut tf off you go to the strip club more then 2 times a month cut tf off, bitch call you her brother cut tf off if I FaceTime you & you call regular cut TF OFF",1304961659291697152,@AsianDaBrattt ASIANNNNN! Bye dawg yo ass slow forreal 😂😂😂😂,1,0.0,1.0,,gender,2,1,0,1,1,2
1122,1304945591407894528,"You dm a hoe back you like a bitch picture you even smile in a hoe face to long you cut tf off if all yo homeboys single cut tf off you go to the strip club more then 2 times a month cut tf off, bitch call you her brother cut tf off if I FaceTime you & you call regular cut TF OFF",1305001613292007425,@AsianDaBrattt What’s wrong with single friends??,1,0.0,0.0,,gender,3,1,0,1,1,3
1123,1304945591407894528,"You dm a hoe back you like a bitch picture you even smile in a hoe face to long you cut tf off if all yo homeboys single cut tf off you go to the strip club more then 2 times a month cut tf off, bitch call you her brother cut tf off if I FaceTime you & you call regular cut TF OFF",1305088600405610498,@AsianDaBrattt Thats just y half you chick's single now...🤭🤗S.M.M.F.H...,1,0.0,0.0,,gender,2,1,1,1,1,3
1124,1304945591407894528,"You dm a hoe back you like a bitch picture you even smile in a hoe face to long you cut tf off if all yo homeboys single cut tf off you go to the strip club more then 2 times a month cut tf off, bitch call you her brother cut tf off if I FaceTime you & you call regular cut TF OFF",1305098393136574465,@AsianDaBrattt Damn!!! No games 🙅🏾‍♂️🙅🏾‍♂️🙅🏾‍♂️🤣,1,0.0,0.0,,gender,2,1,0,1,1,3
1125,1304945591407894528,"You dm a hoe back you like a bitch picture you even smile in a hoe face to long you cut tf off if all yo homeboys single cut tf off you go to the strip club more then 2 times a month cut tf off, bitch call you her brother cut tf off if I FaceTime you & you call regular cut TF OFF",1305123531068502017,@AsianDaBrattt U and @KingVonFrmdaWic  needs chill out 😂💯this getting out of hand . Y’all just work it out at least try be friends y’all setting a bad example for the fans little kids watching y’all look up too y’all fr . IM A BIG FAN OF BOTH OF YALL I LOVE SUM KING VON &amp; Asian so come on 💯,1,1.0,0.0,,gender,3,1,1,1,1,3
